annId,animeType,animeJPName,songType,songArtist,songName,animeVintage,annSongId,anilistId,audio,HQ,MQ,songLength
10855,Movie,One Piece Film: Strong World,Ending 1,Mr.Children,fanfare,Fall 2009,10291,4155,48g6hh.mp3,k7sopi.webm,,211.032
14258,Movie,One Piece Film: Z,Ending 1,AVRIL LAVIGNE,How You Remind Me,Fall 2012,20101,12859,8wfr5g.mp3,2z02bp.webm,g0k8tb.webm,74.04
14258,Movie,One Piece Film: Z,Ending 2,AVRIL LAVIGNE,Bad Reputation,Fall 2012,20102,12859,stv3dt.mp3,39rcfy.webm,0hlhdz.webm,159.888
14258,Movie,One Piece Film: Z,Opening 1,Yasutaka Nakata (capsule),ZEAL,Fall 2012,41995,12859,b1rz2l.mp3,evrs75.webm,,111.72
2326,Movie,One Piece The Movie: Dead End no Bouken,Ending 1,BUMP OF CHICKEN,sailing day,Winter 2003,5103,462,2i37no.mp3,l5gl66.webm,,139.968
17827,Special,One Piece: Adventure of Nebulandia,Ending 1,Namie Amuro,Black Make Up,Fall 2015,15625,21485,npdnhs.mp3,9ukada.webm,,89.861
21732,Movie,One Piece: Stampede,Ending 1,WANIMA,GONG,Summer 2019,28584,105143,8kvoih.mp3,1ojcjz.webm,,209.88
17989,OVA,One Punch Man,Ending 1,Hiroko Moriguchi,Hoshi yori Saki ni Mitsukete Ageru,Fall 2015,15734,21386,3sv0wd.mp3,36ew18.webm,,87.528
17989,OVA,One Punch Man,Opening 1,JAM Project,THE HERO !! ~Ikareru Kobushi ni Hi o Tsukero~,Fall 2015,15733,21386,9votrv.mp3,p5bjvw.webm,,88.824
21282,TV,One Punch Man,Ending 1,Makoto Furukawa,Chizu ga Nakute mo Modoru kara,Spring 2019,23759,97668,fgaw5u.mp3,bxwai6.webm,qs8vzp.webm,88.464
21282,TV,One Punch Man,Opening 1,JAM Project,Seijaku no Apostle,Spring 2019,23561,97668,ejfvik.mp3,vfo7ja.webm,ts0ehd.webm,88.56
18889,TV,One Room,Ending 1,M・A・O,Harumachi Clover,Winter 2017,20158,97857,wb3kvj.mp3,l1itf2.webm,dabrs6.webm,29.544
18889,TV,One Room,Ending 2,Rie Murakawa,Natsuzora Yell,Winter 2017,20159,97857,go4tjx.mp3,nkw9kq.webm,ik7frr.webm,29.544
18889,TV,One Room,Ending 3,Suzuko Mimori,Kibou Refrain,Winter 2017,20160,97857,798wep.mp3,siamls.webm,o4xsjj.webm,29.544
20897,TV,One Room Second Season,Ending 2,Rie Takahashi,Poplar to Bokura no History,Summer 2018,21386,100133,jszw1q.mp3,86p6hs.webm,04713u.webm,29.537
20897,TV,One Room Second Season,Ending 3,Inori Minase,Searchlight to Tsukiakari,Summer 2018,21738,100133,bznyfd.mp3,g10o2k.webm,i3a1og.webm,29.544
20897,TV,One Room Second Season,Ending 1,M・A・O,Aozora Morning Glory,Summer 2018,20580,100133,4v47kt.mp3,opfdwp.webm,t17u8k.webm,29.544
23601,TV,One Room Third Season,Ending 5,M・A・O,Shunkashuuto*Egao Biyori,Fall 2020,31873,116147,y8axmj.mp3,h8ru6b.webm,tjy1k9.webm,29.544
23601,TV,One Room Third Season,Ending 1,Miyu Tomita,Taiyou to Rainbow,Fall 2020,31223,116147,qyc836.mp3,m0w3i5.webm,scod48.webm,29.544
23601,TV,One Room Third Season,Ending 3,Rie Takahashi,Yuki no Machi to Kuusou no Time Machine,Fall 2020,31545,116147,eskl9b.mp3,ngel3x.webm,m92mfj.webm,29.544
23601,TV,One Room Third Season,Ending 2,Rie Murakawa,Aozora ni Kami Hikouki,Fall 2020,31472,116147,fnd9qp.mp3,pfeen3.webm,4pe0q2.webm,29.544
